,datetime,et,p,t,obs
87,1981-03-29,0.001661358,0.00022871929,11.964419,814.0
88,1981-03-30,0.0014971611,0.004104479,10.127683,633.0
89,1981-03-31,0.0017390773,0.0029979637,12.598115,556.0
90,1981-04-01,0.002381861,0.00082083815,11.816627,518.0
91,1981-04-02,0.002757758,0.0001396367,14.225386,487.0
92,1981-04-03,0.002631923,0.00022340403,13.351647,425.0
93,1981-04-04,0.0020173667,0.00057862577,8.773052,394.0
94,1981-04-05,0.0018003522,0.0,6.87549,368.0
95,1981-04-06,0.0020770621,0.0,9.162969,333.0
96,1981-04-07,0.0025678095,0.000950627,12.629597,342.0
97,1981-04-08,0.0022929695,0.005605471,10.650672,345.0
98,1981-04-09,0.002414514,0.00029879605,11.452216,332.0
99,1981-04-10,0.0027353675,0.0,13.48247,299.0
100,1981-04-11,0.0030732702,0.00020352357,15.384806,303.0
101,1981-04-12,0.0028858266,0.0027534314,14.230545,284.0
102,1981-04-13,0.0027671277,0.0036347352,13.446703,262.0
103,1981-04-14,0.0026615572,0.0,12.703262,271.0
104,1981-04-15,0.002612818,8.3487736e-05,12.320303,307.0
105,1981-04-16,0.0021462555,0.0,8.975941,263.0
106,1981-04-17,0.0016291882,0.0,4.4099636,229.0
107,1981-04-18,0.0015083916,9.433104e-05,3.1007473,240.0
108,1981-04-19,0.0016518869,0.0035749485,4.5061526,232.0
109,1981-04-20,0.0017817994,0.0,5.6625185,194.0
110,1981-04-21,0.0017941577,0.0,5.7133503,223.0
111,1981-04-22,0.0017119197,0.0,4.8863816,220.0
112,1981-04-23,0.0016075902,0.0,3.8074164,187.0
113,1981-04-24,0.001955146,0.0,6.9201374,185.0
114,1981-04-25,0.0022264759,0.0029864595,8.989373,199.0
115,1981-04-26,0.0018450592,0.0073772254,5.8454814,181.0
116,1981-04-27,0.0018163614,0.009002596,5.548454,235.0
117,1981-04-28,0.001815511,0.0019803988,5.4808736,436.0
118,1981-04-29,0.002087454,0.0027843046,7.697253,533.0
119,1981-04-30,0.0023452176,0.007773827,9.550204,570.0
120,1981-05-01,0.0017081561,0.002311833,6.518219,550.0
121,1981-05-02,0.0016150244,0.00011536091,5.5476336,528.0
122,1981-05-03,0.0016618384,0.0028185705,5.955668,451.0
123,1981-05-04,0.0017317611,0.003893122,6.564972,411.0
124,1981-05-05,0.0018048913,0.0013408804,7.1879597,408.0
125,1981-05-06,0.002114793,0.00047808097,9.720927,391.0
126,1981-05-07,0.002928383,0.0,15.128659,409.0
127,1981-05-08,0.002801354,0.0,14.316763,356.0
128,1981-05-09,0.0029858053,0.00028877592,15.345959,348.0
129,1981-05-10,0.0029355257,0.006368551,14.954593,302.0
130,1981-05-11,0.0026827143,0.0048877588,13.394392,267.0
131,1981-05-12,0.0026925697,0.0005496248,13.415555,254.0
132,1981-05-13,0.002556329,0.0,12.500709,261.0
133,1981-05-14,0.0027236366,0.0010716055,13.5162115,237.0
134,1981-05-15,0.00261977,0.0009560959,12.817811,208.0
135,1981-05-16,0.002411647,0.0032490774,11.388639,224.0
136,1981-05-17,0.002425676,0.0,11.44164,206.0
137,1981-05-18,0.0030625924,0.0,15.32532,199.0
138,1981-05-19,0.0036276646,0.0,18.17644,188.0
139,1981-05-20,0.004038897,0.0,20.002174,177.0
140,1981-05-21,0.0037354978,0.0032192313,18.588346,162.0
141,1981-05-22,0.0026645423,0.00017832915,12.797222,146.0
142,1981-05-23,0.002786276,0.006280526,13.507201,171.0
143,1981-05-24,0.0025877012,0.0023110316,12.2273655,173.0
144,1981-05-25,0.0024369762,0.0034406334,11.1844845,162.0
145,1981-05-26,0.00259117,0.0032694726,12.168391,189.0
146,1981-05-27,0.0024006928,0.0043774555,10.863416,161.0
147,1981-05-28,0.0026443908,0.0068451855,12.446231,184.0
148,1981-05-29,0.0030398401,0.0035371545,14.755836,152.0
149,1981-05-30,0.003506499,0.0003467447,17.15563,202.0
150,1981-05-31,0.004177386,0.0003915643,20.158983,175.0
151,1981-06-01,0.0037181522,0.0024833977,19.40866,191.0
152,1981-06-02,0.00386529,0.006142393,20.055744,200.0
153,1981-06-03,0.0031164181,0.015346184,16.30786,148.0
154,1981-06-04,0.00241181,0.005280122,11.974362,286.0
155,1981-06-05,0.0030704557,0.0,16.010313,688.0
156,1981-06-06,0.0031721075,0.0,16.537472,605.0
157,1981-06-07,0.0033294202,0.0032130575,17.319904,396.0
158,1981-06-08,0.0038374849,0.0009831439,19.776644,244.0
159,1981-06-09,0.003170756,0.012163684,16.45792,266.0
160,1981-06-10,0.0026836847,0.0,13.622629,249.0
161,1981-06-11,0.0036202737,0.0,18.708063,417.0
162,1981-06-12,0.0030320329,0.0,15.581768,424.0
163,1981-06-13,0.0030652657,0.0,15.8261175,265.0
164,1981-06-14,0.0038464894,0.0,19.729216,206.0
165,1981-06-15,0.0038688018,0.0,19.804235,216.0
166,1981-06-16,0.0025183342,0.0,12.462068,179.0
167,1981-06-17,0.002408757,0.0050062924,11.741431,172.0
168,1981-06-18,0.0023093713,7.1408045e-05,11.035527,155.0
169,1981-06-19,0.0023687454,0.0011845052,11.45721,178.0
170,1981-06-20,0.0023974257,0.0066756913,11.640123,140.0
171,1981-06-21,0.0023964723,0.0012819387,11.643981,165.0
172,1981-06-22,0.0026452777,0.0013504147,13.291758,143.0
173,1981-06-23,0.0030220598,9.9497185e-05,15.539175,147.0
174,1981-06-24,0.0029397658,0.0047203554,15.0747385,134.0
175,1981-06-25,0.002996266,0.013732182,15.399964,137.0
176,1981-06-26,0.0030071707,0.0074723153,15.470322,168.0
177,1981-06-27,0.0030209834,0.012970466,15.547082,146.0
178,1981-06-28,0.0027831101,0.016820913,14.148447,188.0
179,1981-06-29,0.0022574754,0.008850901,10.691289,187.0
180,1981-06-30,0.002520343,0.0011178046,12.535967,314.0
