,datetime,et,p,t,obs
86,1981-03-28,0.0015014943,0.0019153912,9.480265,1717.0
87,1981-03-29,0.0014013266,0.011486373,8.318244,1642.0
88,1981-03-30,0.0013999896,0.010289672,8.244984,1645.0
89,1981-03-31,0.0013857047,0.009050336,7.9443755,1722.0
90,1981-04-01,0.0019597712,0.0010357834,7.444757,1758.0
91,1981-04-02,0.0020691063,0.0,8.255066,1762.0
92,1981-04-03,0.0023392085,0.0,10.270459,1790.0
93,1981-04-04,0.0021456536,0.0014948653,8.791713,1775.0
94,1981-04-05,0.0017770409,0.0013215267,5.708201,1735.0
95,1981-04-06,0.0019862854,0.0017507913,7.3979635,1741.0
96,1981-04-07,0.002346355,0.0,10.049716,1712.0
97,1981-04-08,0.0023484132,0.0031287582,10.041464,1694.0
98,1981-04-09,0.0021530222,0.0039147427,8.513228,1679.0
99,1981-04-10,0.0024654556,3.5827383e-05,10.715207,1628.0
100,1981-04-11,0.0027780659,0.000535487,12.584182,1627.0
101,1981-04-12,0.002683665,0.0006163094,11.902972,1578.0
102,1981-04-13,0.002782574,0.00011564297,12.503193,1522.0
103,1981-04-14,0.0027070902,0.00024442287,12.027607,1550.0
104,1981-04-15,0.0027173392,0.0002601495,11.992078,1550.0
105,1981-04-16,0.0022203275,0.0,8.657532,1603.0
106,1981-04-17,0.0016171671,9.644265e-05,3.4288158,1535.0
107,1981-04-18,0.0013661166,0.0,0.6843861,1445.0
108,1981-04-19,0.001467833,0.0016196457,1.6779774,1354.0
109,1981-04-20,0.0015598993,0.0026585762,2.5353382,1312.0
110,1981-04-21,0.0017335163,0.0,4.201765,1274.0
111,1981-04-22,0.001778632,0.0,4.6602,1231.0
112,1981-04-23,0.0017993384,0.0,4.832854,1180.0
113,1981-04-24,0.0020026248,0.00053576654,6.4361224,1118.0
114,1981-04-25,0.002224436,0.0017699591,7.9923706,1086.0
115,1981-04-26,0.001801849,0.014525858,4.503208,1064.0
116,1981-04-27,0.0015518554,0.002023176,2.0923274,1072.0
117,1981-04-28,0.0015835576,0.0011761005,2.3723485,1044.0
118,1981-04-29,0.0017598165,0.00029167868,3.983977,1030.0
119,1981-04-30,0.0021687197,0.0013209562,7.374542,1019.0
120,1981-05-01,0.0015439866,0.005731234,5.802923,1023.0
121,1981-05-02,0.0013557537,0.004854379,3.6182082,1134.0
122,1981-05-03,0.0013659254,0.0023358662,3.6130314,1119.0
123,1981-05-04,0.0012468245,0.009299539,2.00224,1052.0
124,1981-05-05,0.0013103848,0.0036439884,2.7669992,1072.0
125,1981-05-06,0.0016123307,0.0,6.159176,1094.0
126,1981-05-07,0.002290215,0.0,11.785797,1056.0
127,1981-05-08,0.0021258115,0.0009786006,10.550666,1048.0
128,1981-05-09,0.0023110106,0.002787289,11.837773,1013.0
129,1981-05-10,0.0021256972,0.016098777,10.344362,970.0
130,1981-05-11,0.0019292259,0.009057218,8.725959,979.0
131,1981-05-12,0.001970541,0.0026060895,9.092979,994.0
132,1981-05-13,0.001962269,0.0029933164,9.015363,1013.0
133,1981-05-14,0.0019890387,0.0055415863,9.172713,1003.0
134,1981-05-15,0.00198072,0.008501488,9.025848,1011.0
135,1981-05-16,0.0019722448,0.00719038,8.964689,1000.0
136,1981-05-17,0.0018292465,0.0040356307,7.6950164,1005.0
137,1981-05-18,0.0024475993,0.0,12.400288,1006.0
138,1981-05-19,0.0028151497,0.0,14.732525,964.0
139,1981-05-20,0.003166179,0.0,16.711908,965.0
140,1981-05-21,0.0031060844,0.010130831,16.348383,944.0
141,1981-05-22,0.0020995706,0.008120337,9.770389,968.0
142,1981-05-23,0.002512916,0.0010170349,12.777092,1033.0
143,1981-05-24,0.0021131202,0.011014136,9.8285475,1054.0
144,1981-05-25,0.0020533334,0.01666312,9.308404,1163.0
145,1981-05-26,0.0020180915,0.022650251,8.994955,1567.0
146,1981-05-27,0.0017701035,0.0043526646,6.760184,1993.0
147,1981-05-28,0.002255765,0.0059531736,10.750517,1925.0
148,1981-05-29,0.0025364342,0.0013238085,12.697777,1810.0
149,1981-05-30,0.0026561082,0.005531343,13.346201,1773.0
150,1981-05-31,0.0032809514,0.00018712394,16.914877,1589.0
151,1981-06-01,0.0032988912,0.0016604137,16.64333,1513.0
152,1981-06-02,0.0035114374,0.003210335,17.660038,1486.0
153,1981-06-03,0.003041611,0.0088638235,15.260068,1446.0
154,1981-06-04,0.0020705631,0.0061525665,8.778226,1545.0
155,1981-06-05,0.0027319484,0.0,13.352274,1528.0
156,1981-06-06,0.0029781237,0.001461097,14.760024,1520.0
157,1981-06-07,0.0032505447,0.0,16.239676,1468.0
158,1981-06-08,0.0033672343,0.00649259,16.72138,1439.0
159,1981-06-09,0.0032955648,0.013203703,16.475998,1445.0
160,1981-06-10,0.0027973007,0.00045726693,13.719499,1475.0
161,1981-06-11,0.0036627545,0.0,18.254139,1528.0
162,1981-06-12,0.0034559306,0.00025574758,17.281258,1486.0
163,1981-06-13,0.0029213584,0.0,14.429561,1458.0
164,1981-06-14,0.003683724,0.0,18.341059,1437.0
165,1981-06-15,0.0039301915,0.0,19.465246,1408.0
166,1981-06-16,0.0028184587,0.0009566569,13.825486,1390.0
167,1981-06-17,0.0021626202,0.0019158927,9.360237,1374.0
168,1981-06-18,0.0019425217,0.0031406211,7.548942,1351.0
169,1981-06-19,0.0020379263,0.00032653345,8.334623,1349.0
170,1981-06-20,0.002301521,0.0026107896,10.336283,1354.0
171,1981-06-21,0.00199108,0.008147859,7.9267287,1266.0
172,1981-06-22,0.0021252565,0.0017315232,8.919929,1225.0
173,1981-06-23,0.0025817624,0.00023944909,12.236487,1225.0
174,1981-06-24,0.0025831035,0.004895068,12.211848,1139.0
175,1981-06-25,0.002689685,0.007607034,12.843936,1116.0
176,1981-06-26,0.0027445504,0.005994033,13.230605,1139.0
177,1981-06-27,0.0031036274,0.0014072852,15.2980585,1096.0
178,1981-06-28,0.0029455866,0.016340159,14.43084,1054.0
179,1981-06-29,0.0022075383,0.0011999812,9.722497,1170.0
180,1981-06-30,0.0022412683,0.0,9.970661,1098.0
181,1981-07-01,0.0027630099,0.0,14.620162,1064.0
182,1981-07-02,0.0032707516,0.0033128962,17.390905,1048.0
183,1981-07-03,0.0022881392,0.016042331,11.415805,1075.0
184,1981-07-04,0.0024015873,0.0,12.247593,1251.0
185,1981-07-05,0.00277117,0.0,14.627387,1236.0
186,1981-07-06,0.0028774636,0.0017804741,15.293943,1199.0
187,1981-07-07,0.0029948116,0.0,16.029652,1170.0
188,1981-07-08,0.003332364,0.005648703,17.761753,1147.0
189,1981-07-09,0.0031815525,0.009075302,16.92726,1137.0
190,1981-07-10,0.003024803,0.010563048,16.17333,1143.0
191,1981-07-11,0.0027861958,0.013304983,14.8569,1242.0
192,1981-07-12,0.0027513101,0.0016010961,14.746366,1328.0
193,1981-07-13,0.0026676538,0.0064707194,14.253481,1340.0
194,1981-07-14,0.0027111317,0.0,14.504751,1284.0
195,1981-07-15,0.0027718754,0.0,14.982708,1263.0
196,1981-07-16,0.0027659896,0.0016036908,14.909882,1219.0
197,1981-07-17,0.002455722,0.037402127,12.998628,1205.0
198,1981-07-18,0.0019799427,0.02263177,9.388135,1289.0
199,1981-07-19,0.0018160928,0.00809154,7.9267716,2118.0
200,1981-07-20,0.002233544,0.01549144,11.398973,2097.0
201,1981-07-21,0.0025403083,0.004878036,13.616446,2006.0
202,1981-07-22,0.0028934737,0.009636737,15.835971,1971.0
203,1981-07-23,0.0024435103,0.029752865,13.03029,1949.0
204,1981-07-24,0.002173281,0.013403891,11.1244,2040.0
205,1981-07-25,0.0019078008,0.006306242,9.026582,2288.0
206,1981-07-26,0.0019970422,0.0017029044,9.812299,2340.0
207,1981-07-27,0.0021892323,0.006433523,11.3625145,2261.0
208,1981-07-28,0.002301438,0.0,12.276345,2138.0
209,1981-07-29,0.0029679064,0.0,16.645084,2018.0
210,1981-07-30,0.003373334,0.0,18.91057,1913.0
211,1981-07-31,0.0039254576,0.0,21.536682,1844.0
212,1981-08-01,0.0036352172,0.00018220562,19.584185,1724.0
213,1981-08-02,0.003608343,0.0019617726,19.536463,1636.0
214,1981-08-03,0.0036911992,0.0,19.995987,1606.0
215,1981-08-04,0.0036590442,0.0018436788,19.868805,1506.0
216,1981-08-05,0.0036456538,0.0023870186,19.718746,1467.0
217,1981-08-06,0.0033167545,0.008494844,18.1207,1442.0
218,1981-08-07,0.0030758602,0.013033621,16.965115,1458.0
219,1981-08-08,0.0029633853,0.013517477,16.390694,1414.0
220,1981-08-09,0.0027423836,0.011126423,15.194712,1573.0
221,1981-08-10,0.0024447122,0.0070191254,13.250195,1610.0
222,1981-08-11,0.0026306363,0.0033487082,14.539755,1471.0
223,1981-08-12,0.0026386243,0.00046636988,14.660214,1410.0
224,1981-08-13,0.002790058,0.0,15.690269,1373.0
225,1981-08-14,0.0031342166,0.0,17.721685,1337.0
226,1981-08-15,0.0034301968,0.0,19.370804,1298.0
227,1981-08-16,0.002987842,0.0069155637,17.074406,1249.0
228,1981-08-17,0.002191291,0.0,11.901255,1231.0
229,1981-08-18,0.0024581924,0.0,13.869206,1229.0
230,1981-08-19,0.0027692982,0.0,15.952055,1204.0
231,1981-08-20,0.0025275818,0.007614135,14.472638,1202.0
232,1981-08-21,0.0019338941,0.00083737035,10.006005,1223.0
233,1981-08-22,0.0022592526,0.00048551636,12.634003,1279.0
234,1981-08-23,0.0019376256,0.0017128397,10.157555,1184.0
235,1981-08-24,0.0019238595,2.3757546e-05,10.057575,1171.0
236,1981-08-25,0.0020072341,0.0,10.85906,1114.0
237,1981-08-26,0.002287653,0.0,13.1287,1062.0
238,1981-08-27,0.0022850586,9.1710564e-05,13.170356,1002.0
239,1981-08-28,0.0021899296,8.164552e-05,12.522118,971.0
240,1981-08-29,0.0024455255,0.0,14.49669,920.0
241,1981-08-30,0.0024742107,0.0,14.788785,902.0
242,1981-08-31,0.0027573744,0.0,16.643373,889.0
243,1981-09-01,0.0019276111,0.014040791,14.044562,1030.0
244,1981-09-02,0.0018007131,0.007722537,12.961828,1229.0
245,1981-09-03,0.0016391114,0.003719354,11.455223,1048.0
246,1981-09-04,0.0015994213,0.00096560054,11.109006,974.0
247,1981-09-05,0.0018271832,0.0002425052,13.4051895,916.0
248,1981-09-06,0.0019317862,0.0,14.447622,894.0
249,1981-09-07,0.0021813759,0.0,16.552282,879.0
250,1981-09-08,0.0023193194,0.0,17.69189,850.0
251,1981-09-09,0.001851542,0.010177341,13.949211,951.0
252,1981-09-10,0.0017985062,0.011360023,13.438368,944.0
253,1981-09-11,0.001871248,0.0036659956,14.208337,929.0
254,1981-09-12,0.0018388015,0.021905266,14.02106,974.0
255,1981-09-13,0.0014671959,0.011871678,10.288521,979.0
256,1981-09-14,0.0013441838,0.0014103664,8.898093,1155.0
257,1981-09-15,0.001472472,0.010371067,10.473844,1186.0
258,1981-09-16,0.0016504285,0.0026112003,12.477282,1104.0
259,1981-09-17,0.0015870889,0.0,11.952819,1090.0
260,1981-09-18,0.0019127754,0.014742718,15.112831,1048.0
261,1981-09-19,0.0016911518,0.00972667,13.073948,1061.0
262,1981-09-20,0.002012756,0.00016095082,16.111135,1051.0
263,1981-09-21,0.001955796,0.0,15.723945,987.0
264,1981-09-22,0.0018703773,0.016883364,15.014264,918.0
265,1981-09-23,0.0013943294,0.007936422,10.221514,1118.0
266,1981-09-24,0.0015103726,0.006130155,11.612458,1277.0
267,1981-09-25,0.0015653168,9.247876e-05,12.263466,1251.0
268,1981-09-26,0.0016800391,0.022625579,13.477536,1223.0
269,1981-09-27,0.0012358363,0.012615183,8.502239,1215.0
270,1981-09-28,0.0011878838,0.026739161,7.886134,1362.0
271,1981-09-29,0.0010773871,0.0030915202,6.351426,2390.0
272,1981-09-30,0.0011664106,0.0,7.8002896,2149.0
273,1981-10-01,0.0013283982,0.000116231015,11.520836,1853.0
274,1981-10-02,0.00113735,0.009790288,9.027388,1760.0
275,1981-10-03,0.0012184287,0.01195488,10.24042,1718.0
276,1981-10-04,0.0013377788,0.0035645496,11.867672,1685.0
